PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14721419,SI,JR,99.73527912,100,00:00:00,84.99017083,100,00:00:00,75.28263198,85,00:00:00,91.10635351,100,252:56:22,15,15,00:00:00,100,100,00:00:00,70,70,00:00:00,9.534678207,10,00:00:00,47,47,00:00:00,84.53404878,85,00:00:00,10,10,00:00:00,97.28513129,100,382:51:44,75,75,00:00:00,19.95542074,25,00:00:00,88.79171164,100,00:00:00,43.74565031,50,00:00:00,4.607634729,10,00:00:00,85.5195832,100,00:00:00,73.02176903,87,00:00:00,780:01:28,22.46779742,25,00:00:00,68.23098524,75,00:00:00,73.91701954,75,00:00:00,10,10,00:00:00,10,10,780:01:28,10,10,00:00:00,9.575959111,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,8.89529364,10,00:00:00,10,10,780:01:28,10,10,00:00:00
A14540219,WA,JR,69.58680882,100,00:00:00,75.45514659,100,00:00:00,,85,00:00:00,84.59411477,100,00:00:00,,15,00:00:00,66.92420763,100,47:48:27,47.89906571,70,00:00:00,2.92290625,10,00:00:00,24.71295834,47,00:00:00,70.22493399,85,00:00:00,9.897609979,10,00:00:00,80.85473411,100,00:00:00,62.01301215,75,00:00:00,24.8767355,25,00:00:00,56.40779773,100,00:00:00,36.94728325,50,00:00:00,0,10,00:00:00,79.95125323,100,00:00:00,71.19154944,87,00:00:00,47:48:27,,25,00:00:00,,75,00:00:00,,75,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00,,10,00:00:00
A14654940,SI,SO,99.91691229,100,00:00:00,,100,00:00:00,63.99520651,85,00:00:00,89.72129354,100,00:00:00,13.87154062,15,00:00:00,91.26997987,100,46:27:42,68.29646686,70,00:00:00,10,10,00:00:00,38.28859707,47,00:00:00,78.64441292,85,00:00:00,0,10,00:00:00,94.56672364,100,00:00:00,74.29585179,75,00:00:00,25,25,00:00:00,86.6245302,100,00:00:00,31.45826561,50,00:00:00,0.5844329955,10,24:13:12,95.79538034,100,00:00:00,83.99773279,87,00:00:00,70:41:40,17.00695566,25,70:41:40,61.78934801,75,00:00:00,70.98386946,75,70:41:40,8.283393541,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.183263847,10,00:00:00,9.006592716,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,46:27:42
A14883274,TH,JR,98.82947595,100,00:00:00,50.78423075,100,00:00:00,52.9294822,85,00:00:00,71.44769855,100,00:00:00,9.987088942,15,00:00:00,78.36724442,100,00:00:00,70,70,00:00:00,8.408304111,10,00:00:00,42.87180088,47,00:00:00,83.70098309,85,645:24:50,9.359045724,10,00:00:00,91.40606333,100,00:00:00,62.92607469,75,00:00:00,25,25,00:00:00,94.43777805,100,00:00:00,45.14885716,50,00:00:00,0,10,00:00:00,88.20103491,100,00:00:00,70.92176839,87,00:00:00,669:12:21,19.72967978,25,00:00:00,49.8842662,75,00:00:00,57.68036978,75,669:12:21,7.680707729,10,00:00:00,8.792917935,10,669:12:21,9.08592149,10,00:00:00,7.308412246,10,669:12:21,9.868391753,10,00:00:00,10,10,00:00:00,6.956713066,10,669:12:21,9.022406575,10,00:00:00,9.020282736,10,00:00:00,9.437368067,10,00:00:00
A14755997,WA,JR,86.37072591,100,00:00:00,,100,00:00:00,85,85,00:00:00,74.25640331,100,267:15:40,3.413690963,15,00:00:00,87.68178232,100,38:23:00,63.28377325,70,00:00:00,10,10,00:00:00,42.31737123,47,00:00:00,85,85,504:45:26,8.817765068,10,00:00:00,93.8467042,100,00:00:00,69.26800226,75,00:00:00,25,25,00:00:00,93.51511213,100,00:00:00,43.69919168,50,00:00:00,1.128949606,10,00:00:00,90.35682842,100,00:00:00,79.51666153,87,00:00:00,810:24:06,25,25,267:15:40,75,75,00:00:00,75,75,38:23:00,10,10,00:00:00,9.301853007,10,00:00:00,9.420779339,10,00:00:00,10,10,00:00:00,9.371660421,10,00:00:00,9.506705488,10,00:00:00,10,10,00:00:00,9.23277812,10,00:00:00,9.134614583,10,00:00:00,10,10,00:00:00
A14164800,SI,SR,86.51336948,100,00:00:00,47.80281961,100,00:00:00,46.12280089,85,00:00:00,43.36671638,100,00:00:00,15,15,00:00:00,73.88747744,100,00:00:00,64.94867743,70,00:00:00,8.957844508,10,00:00:00,37.78857916,47,00:00:00,73.32858435,85,764:40:45,8.048606815,10,00:00:00,73.40697394,100,00:04:51,62.29093832,75,00:00:00,25,25,00:00:00,71.82041285,100,00:00:00,37.89202384,50,00:00:00,6.662133407,10,00:00:00,77.04370835,100,00:00:00,74.10346311,87,00:00:00,828:47:53,13.06956425,25,00:00:00,41.54830791,75,764:40:45,46.71496255,75,00:00:00,5.662351175,10,00:00:00,9.834749472,10,00:00:00,6.752506312,10,00:00:00,6.77281094,10,00:00:00,7.02611796,10,00:00:00,8.061982817,10,00:00:00,7.959132586,10,00:00:00,3.030538094,10,00:04:51,7.613697843,10,00:00:00,9.624617016,10,00:00:00
A14847419,TH,JR,100,100,00:00:00,100,100,00:00:00,79.1218059,85,00:00:00,92.59032332,100,00:00:00,13.28683945,15,00:00:00,95.06142683,100,00:00:00,62.41294625,70,00:00:00,5.523736578,10,00:00:00,44.51409454,47,00:00:00,58.51423468,85,00:00:00,3.479249759,10,00:00:00,98.53708606,100,00:00:00,70.55831076,75,00:00:00,25,25,00:00:00,96.33068383,100,00:00:00,38.89401229,50,00:00:00,0,10,00:00:00,94.29943867,100,00:00:00,74.87653467,87,00:00:00,120:01:11,25,25,00:00:00,74.26789698,75,00:00:00,75,75,00:00:00,10,10,00:00:00,9.106102465,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.560133153,10,00:00:00,10,10,00:00:00,8.756424035,10,00:00:00,10,10,00:00:00,9.249126002,10,00:00:00,10,10,00:00:00
A14162943,SI,JR,66.50697424,100,00:00:00,33.42241162,100,00:00:00,41.82370295,85,00:00:00,70.69324852,100,00:00:00,15,15,00:00:00,83.10162174,100,47:42:33,46.18041619,70,00:00:00,1.532943389,10,00:00:00,19.57062937,47,00:00:00,62.16429334,85,00:00:00,2.131055677,10,00:00:00,60.78585465,100,00:00:00,71.04332814,75,00:00:00,25,25,00:00:00,37.01860603,100,00:00:00,50,50,00:00:00,1.348154925,10,00:00:00,90.80575421,100,00:00:00,67.15588075,87,00:00:00,93:16:10,14.88944672,25,00:00:00,44.48430207,75,00:00:00,50.84831205,75,00:00:00,6.439116071,10,00:00:00,8.623868939,10,00:00:00,8.061220593,10,00:00:00,9.826538643,10,00:00:00,9.7290911,10,00:00:00,9.812185255,10,00:00:00,5.960110631,10,00:00:00,4.439606276,10,00:00:00,4.485291333,10,00:00:00,6.282712443,10,00:00:00
A14282114,RE,SR,92.82187631,100,00:00:00,100,100,00:00:00,67.80738175,85,00:00:00,100,100,00:00:00,15,15,00:00:00,97.30577772,100,00:00:00,69.64287871,70,00:00:00,1.445800792,10,00:00:00,43.18642521,47,00:00:00,80.23490664,85,00:00:00,10,10,00:00:00,94.28720203,100,00:00:00,63.6460359,75,00:00:00,25,25,00:00:00,99.46933795,100,00:00:00,42.78041948,50,00:00:00,3.50169229,10,00:00:00,100,100,00:00:00,78.7194221,87,00:00:00,00:00:00,20.39506317,25,00:00:00,68.51885011,75,00:00:00,72.53377957,75,00:00:00,10,10,00:00:00,10,10,00:00:00,9.636998304,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.775659063,10,00:00:00,10,10,00:00:00,8.416272736,10,00:00:00
A14297403,MU,SR,98.12032607,100,00:00:00,46.65029328,100,00:00:00,56.47287061,85,00:00:00,72.81998042,100,00:00:00,12.69835927,15,00:00:00,85.28593665,100,46:35:38,62.79906097,70,00:00:00,,10,00:00:00,35.71489156,47,00:00:00,64.90969792,85,00:00:00,,10,00:00:00,51.08211603,100,00:00:00,70.55841788,75,00:00:00,16.75813573,25,00:00:00,67.08145689,100,00:00:00,27.48156904,50,00:00:00,2.213834667,10,00:00:00,95.63377511,100,00:00:00,85.13826954,87,00:00:00,46:35:38,20.20353935,25,00:00:00,52.98949668,75,00:00:00,61.64951636,75,00:00:00,9.772034637,10,00:00:00,7.96394463,10,46:35:38,9.508821661,10,00:00:00,7.417667615,10,00:00:00,10,10,00:00:00,10,10,46:35:38,10,10,00:00:00,8.415400385,10,00:00:00,4.900130612,10,46:35:38,7.246750767,10,00:00:00
